variant,run,scenario,rate,block,instances,min_core_percent,median_core_percent,max_core_percent
baseline,1,audio-48k-64,48000,64,1,0.4135944,0.437671,0.4647404
baseline,1,audio-48k-512,48000,512,1,0.3684512,0.380668,0.3973057
baseline,1,audio-96k-128,96000,128,1,0.582441,0.613605,0.6403658
baseline,1,audio-192k-128,192000,128,1,0.88956,0.9054869,0.9325667
baseline,1,audio-8-instances,48000,512,8,3.129961,3.160778,3.229741
baseline,1,pressure-sparse,48000,512,1,0.40166,0.4513792,0.6106819
baseline,1,pressure-dense,48000,512,1,0.4540446,0.4648911,0.4755716
baseline,1,pressure-stress,48000,512,1,8.604077,8.829378,9.491677
baseline,1,irrelevant-midi,48000,512,1,0.4257303,0.4408831,0.4441627
candidate,1,audio-48k-64,48000,64,1,0.385225,0.3933354,0.4275415
candidate,1,audio-48k-512,48000,512,1,0.3804889,0.4071239,0.4387276
candidate,1,audio-96k-128,96000,128,1,0.5590352,0.5734415,0.5875125
candidate,1,audio-192k-128,192000,128,1,0.8848454,0.8913627,0.897221
candidate,1,audio-8-instances,48000,512,8,3.034175,3.133588,3.214663
candidate,1,pressure-sparse,48000,512,1,0.3793711,0.3940843,0.4045261
candidate,1,pressure-dense,48000,512,1,0.3960196,0.4110996,0.4270593
candidate,1,pressure-stress,48000,512,1,0.6931273,0.730188,0.7808833
candidate,1,irrelevant-midi,48000,512,1,0.3719616,0.3805327,0.3970537
baseline,2,audio-48k-64,48000,64,1,0.396274,0.4091321,0.4316946
baseline,2,audio-48k-512,48000,512,1,0.3791672,0.4118486,0.4229002
baseline,2,audio-96k-128,96000,128,1,0.5990687,0.6115542,0.6715848
baseline,2,audio-192k-128,192000,128,1,0.8882619,0.9013352,1.001649
baseline,2,audio-8-instances,48000,512,8,3.016881,3.070947,3.130112
baseline,2,pressure-sparse,48000,512,1,0.381965,0.400448,0.4764644
baseline,2,pressure-dense,48000,512,1,0.48532,0.5396009,0.81828
baseline,2,pressure-stress,48000,512,1,8.283101,8.457978,11.05912
baseline,2,irrelevant-midi,48000,512,1,0.4079305,0.4135591,0.425359
candidate,2,audio-48k-64,48000,64,1,0.363409,0.384949,0.3955448
candidate,2,audio-48k-512,48000,512,1,0.3396399,0.3507935,0.3704083
candidate,2,audio-96k-128,96000,128,1,0.5209131,0.5349946,0.56995
candidate,2,audio-192k-128,192000,128,1,0.8393965,0.852201,0.8552204
candidate,2,audio-8-instances,48000,512,8,2.79646,2.887916,3.017964
candidate,2,pressure-sparse,48000,512,1,0.3299073,0.336577,0.3477992
candidate,2,pressure-dense,48000,512,1,0.3467179,0.3522316,0.4154877
candidate,2,pressure-stress,48000,512,1,0.549055,0.5788389,0.7109221
candidate,2,irrelevant-midi,48000,512,1,0.3326307,0.3603125,0.3913007
baseline,3,audio-48k-64,48000,64,1,0.3562854,0.3641429,0.3882708
baseline,3,audio-48k-512,48000,512,1,0.3252452,0.3358465,0.3446426
baseline,3,audio-96k-128,96000,128,1,0.4985033,0.5100346,0.520581
baseline,3,audio-192k-128,192000,128,1,0.8333504,0.842839,0.87661
baseline,3,audio-8-instances,48000,512,8,2.702328,2.746373,3.098711
baseline,3,pressure-sparse,48000,512,1,0.3483891,0.3584608,0.3706447
baseline,3,pressure-dense,48000,512,1,0.4050933,0.420999,0.4244878
baseline,3,pressure-stress,48000,512,1,8.39102,8.594896,9.876801
baseline,3,irrelevant-midi,48000,512,1,0.4481352,0.4626666,0.5860487
candidate,3,audio-48k-64,48000,64,1,0.4171927,0.4503287,0.6260852
candidate,3,audio-48k-512,48000,512,1,0.3910493,0.39868,0.4366304
candidate,3,audio-96k-128,96000,128,1,0.5115442,0.529526,0.5785423
candidate,3,audio-192k-128,192000,128,1,0.8384752,0.8519325,0.9089879
candidate,3,audio-8-instances,48000,512,8,2.562198,2.604836,2.769567
candidate,3,pressure-sparse,48000,512,1,0.3145088,0.3186852,0.4120745
candidate,3,pressure-dense,48000,512,1,0.3170564,0.3192424,0.3349152
candidate,3,pressure-stress,48000,512,1,0.4986085,0.5275972,0.5613375
candidate,3,irrelevant-midi,48000,512,1,0.3273309,0.3917871,0.4045229
